gene_ID subst L_accius P_sennae L_sinapis C_cecrops D_plexippus H_melpomene P_machaon B_mori
XM_004924458.1 dS.dnd 0.459797 0.481982 0.630512 0.418717 0.587612 0.538207 0.661449 0.329067
XM_004924458.1 dN.dnd 0.0963726 0.0728566 0.144585 0.0812896 0.100727 0.103682 0.0851907 0.0223659
XM_004924459.2 dS.dnd 0.593459 0.458738 0.610253 0.689255 0.563985 0.550557 0.534942 0.279553
XM_004924459.2 dN.dnd 0.019863 0.0216564 0.0357629 0.0566585 0.0271194 0.0165244 0.0259126 0.0226271
XM_004924466.2 dN.dnd 0.0160169 0.0207932 0.0183934 0.00954271 0.0253824 0.0197267 0.00681333 0.00330299
XM_004924466.2 dS.dnd 0.406313 0.320723 0.422292 0.42156 0.429835 0.42897 0.390726 0.334173
XM_004924468.2 dN.dnd 0.057112 0.0318553 0.043135 0.0869715 0.0566606 0.0365611 0.0450414 0.033383
XM_004924468.2 dS.dnd 0.58456 0.504832 0.56437 0.602522 0.554152 0.630248 0.577981 0.354987
XM_004924469.2 dN.dnd 0.0593082 0.029967 0.056806 0.0751949 0.0321058 0.0373686 0.057293 0.0745568
XM_004924469.2 dS.dnd 0.653601 0.442896 0.476177 0.625292 0.56828 0.523269 0.418081 0.300696
XM_004924478.2 dN.dnd 0.0525069 0.0477881 0.0502172 0.0964584 0.0588097 0.052175 0.0424816 0.0553362
XM_004924478.2 dS.dnd 0.606856 0.503633 0.513185 0.637924 0.592392 0.622352 0.637852 0.358048
XM_004924479.2 dN.dnd 0.0632415 0.0262898 0.043448 0.0330338 0.0186845 0.0266692 0.0314525 0.046351
XM_004924479.2 dS.dnd 0.577198 0.453594 0.556392 0.573006 0.615604 0.532852 0.586921 0.329513
XM_004924484.1 dS.dnd 0.602336 0.503216 0.616292 0.681264 0.653929 0.538164 0.545208 0.31991
XM_004924484.1 dN.dnd 0.0584227 0.0423669 0.0642435 0.0766054 0.0522091 0.0662242 0.0583687 0.0411089
XM_004924496.2 dN.dnd 0.00981742 0.00528314 0.0111574 0.0198761 0.000690756 0.00508527 0.0462199 0.0329999
XM_004924496.2 dS.dnd 0.54024 0.464282 0.505705 0.577855 0.579248 0.463092 0.561722 0.315799
XM_004924497.2 dN.dnd 0.036121 0.0368873 0.050878 0.0356521 0.0277306 0.0356207 0.0330138 0.0295722
XM_004924497.2 dS.dnd 0.597093 0.410027 0.548023 0.622583 0.582755 0.517603 0.612179 0.316213
XM_004924503.2 dN.dnd 0.111668 0.0965163 0.105548 0.29087 0.14261 0.146878 0.0588042 0.102381
XM_004924503.2 dS.dnd 0.638838 0.467315 0.735615 0.724908 0.589857 0.623117 0.66956 0.336554
XM_004924504.2 dN.dnd 0.000478315 0.00032974 0.000545092 0.000865035 0.0411398 0.000661908 0.00317115 0.00190917
XM_004924504.2 dS.dnd 0.562708 0.449508 0.559589 0.66759 0.545432 0.54585 0.517139 0.325921
XM_004924510.2 dS.dnd 0.709904 0.589661 0.62536 0.654721 0.611735 0.608066 0.693716 0.315015
XM_004924510.2 dN.dnd 0.0423564 0.0168298 0.0464821 0.0635342 0.0447421 0.0223509 0.0530304 0.0199745
XM_004924512.2 dN.dnd 0.0801594 0.0719917 0.0882387 0.148613 0.089385 0.0773699 0.0878494 0.0594993
XM_004924512.2 dS.dnd 0.615434 0.518977 0.628695 0.777758 0.54852 0.599 0.628235 0.343443
XM_004924516.2 dS.dnd 0.526457 0.391422 0.515844 0.574285 0.563668 0.562157 0.559866 0.311936
XM_004924516.2 dN.dnd 0.0214283 0.0270762 0.0577195 0.031161 0.0116432 0.0420828 0.0312949 0.016425
XM_004924519.2 dS.dnd 0.632461 0.48918 0.576308 0.702591 0.582042 0.523822 0.585878 0.341537
XM_004924519.2 dN.dnd 0.0433524 0.0310065 0.0525505 0.0823011 0.0427537 0.0364303 0.0497302 0.0354522
XM_004924522.2 dS.dnd 0.442646 0.413006 0.758204 0.668737 0.464337 0.539161 0.584803 0.313767
XM_004924522.2 dN.dnd 0.0490604 0.0458806 0.25274 0.0574595 0.0292643 0.0432377 0.037427 0.0129708
XM_004924523.2 dS.dnd 0.502382 0.370022 0.555013 0.489829 0.586523 0.487593 0.482311 0.294147
XM_004924523.2 dN.dnd 0.0365949 0.0107173 0.0317215 0.0263684 0.0309847 0.0121366 0.0267076 0.0129537
XM_004924525.1 dS.dnd 0.546681 0.511894 0.650108 0.680931 0.662945 0.483605 0.615781 0.366227
XM_004924525.1 dN.dnd 0.0144464 0.0131008 0.0329503 0.0379137 0.0262615 0.0204985 0.0248079 0.0349432
XM_004924546.2 dS.dnd 0.625788 0.469778 0.625676 0.676297 0.589196 0.469349 0.613515 0.3317
XM_004924546.2 dN.dnd 0.111406 0.0518327 0.0753077 0.107899 0.10284 0.102585 0.116122 0.0481529
XM_004924554.2 dN.dnd 0.122733 0.0893801 0.13648 0.173085 0.236354 0.18622 0.322283 0.0827603
XM_004924554.2 dS.dnd 0.531251 0.54313 0.681457 0.766118 0.524474 0.69897 0.749292 0.434327
XM_004924557.2 dS.dnd 0.620229 0.468046 0.593717 0.623422 0.580339 0.531589 0.551491 0.34021
XM_004924557.2 dN.dnd 0.0254747 0.0208248 0.044846 0.0399986 0.0365665 0.0143155 0.0389873 0.0246826
XM_004924559.2 dS.dnd 0.559916 0.515462 0.624147 0.616417 0.493635 0.498118 0.526648 0.333213
XM_004924559.2 dN.dnd 0.0601224 0.0482707 0.079503 0.0796464 0.0481456 0.0483227 0.0592517 0.0417173
XM_004924564.2 dS.dnd 0.45072 0.292527 0.529994 0.462624 0.501496 0.480469 0.428692 0.352524
XM_004924564.2 dN.dnd 0.0271831 0.0161904 0.0241357 0.0507571 0.0282978 0.0850982 0.040817 0.0427921
XM_004924567.2 dN.dnd 0.0180038 0.0113746 0.0118553 0.0279829 0.0331944 0.0431502 0.0561459 0.0151968
XM_004924567.2 dS.dnd 0.662684 0.478262 0.617316 0.52869 0.643477 0.522252 0.612162 0.3866
XM_004924569.2 dN.dnd 0.0644329 0.0240013 0.0727681 0.184983 0.0477633 0.0741258 0.130765 0.0483793
XM_004924569.2 dS.dnd 0.441143 0.554584 0.57113 0.672658 0.574673 0.496833 0.659432 0.295747
XM_004924590.2 dN.dnd 0.0690426 0.0374003 0.0520781 0.0742457 0.0444071 0.0375024 0.0544442 0.0262798
XM_004924590.2 dS.dnd 0.645552 0.51694 0.62144 0.664308 0.507673 0.571293 0.627835 0.327157
XM_004924597.2 dN.dnd 0.0858758 0.0369022 0.0701228 0.062953 0.0638994 0.0272781 0.101875 0.045015
XM_004924597.2 dS.dnd 0.594634 0.407268 0.608502 0.62669 0.556615 0.571275 0.616782 0.325533
XM_004924599.2 dN.dnd 0.015691 0.0107033 0.0172382 0.0267227 0.0125166 0.0397705 0.0125497 0.00770789
XM_004924599.2 dS.dnd 0.533422 0.450728 0.587044 0.615344 0.527783 0.504089 0.553928 0.313353
XM_004924604.2 dN.dnd 0.0145633 0.0325141 0.0244135 0.0406734 0.0102972 0.0295328 0.0113135 0.0121133
XM_004924604.2 dS.dnd 0.472737 0.412688 0.448815 0.50143 0.428825 0.351441 0.363978 0.268916
XM_004924606.2 dS.dnd 0.581219 0.445062 0.559639 0.5967 0.521437 0.479592 0.549854 0.329268
XM_004924606.2 dN.dnd 0.107424 0.066918 0.107536 0.119367 0.0841913 0.0815529 0.1064 0.0623923
XM_004924611.2 dS.dnd 0.478043 0.407951 0.521343 0.488098 0.564382 0.474915 0.478322 0.301786
XM_004924611.2 dN.dnd 0.0491671 0.0236601 0.0379689 0.0616507 0.058422 0.0557414 0.0339213 0.021007
XM_004924612.2 dN.dnd 0.0210348 0.0134244 0.0402215 0.0274704 0.0270741 0.0189081 0.0288517 0.0175075
XM_004924612.2 dS.dnd 0.568296 0.505481 0.580287 0.658092 0.552552 0.566153 0.648839 0.328799
XM_004924614.2 dN.dnd 0.0743424 0.0219232 0.0364664 0.0834417 0.0538184 0.0377024 0.0569693 0.0437224
XM_004924614.2 dS.dnd 0.594945 0.453944 0.650099 0.671769 0.621465 0.539628 0.639715 0.335545
XM_004924615.1 dN.dnd 0.0688334 0.0501601 0.0842301 0.082815 0.0649755 0.0641184 0.103527 0.0523643
XM_004924615.1 dS.dnd 0.562148 0.386408 0.594269 0.580909 0.556345 0.51965 0.598027 0.304618
XM_004924620.2 dN.dnd 0.046668 0.0343032 0.0525112 0.0616123 0.0356052 0.037096 0.0277727 0.0142311
XM_004924620.2 dS.dnd 0.588268 0.45548 0.588082 0.621828 0.585102 0.578299 0.576197 0.334006
XM_004924621.2 dN.dnd 0.031558 0.0169595 0.0150257 0.0243358 0.0155117 0.0156371 0.0140701 0.00850968
XM_004924621.2 dS.dnd 0.468043 0.476315 0.529782 0.494665 0.482929 0.580704 0.443332 0.381168
XM_004924624.1 dS.dnd 0.578997 0.444199 0.579298 0.606305 0.598253 0.526229 0.500644 0.324493
XM_004924624.1 dN.dnd 0.0391627 0.044517 0.0531293 0.0944841 0.0766118 0.0436094 0.0474708 0.0319239
XM_004924627.2 dN.dnd 0.0137758 0.0114472 0.0272344 0.0199662 0.0209707 0.0173312 0.0154178 0.0160495
XM_004924627.2 dS.dnd 0.329603 0.243566 0.400779 0.446804 0.492271 0.434371 0.35919 0.514823
XM_004924629.2 dN.dnd 0.110903 0.0477502 0.0483173 0.0704339 0.0460098 0.0405579 0.0675699 0.0441976
XM_004924629.2 dS.dnd 0.690322 0.462683 0.606364 0.698328 0.60649 0.559096 0.608233 0.380965
XM_004924636.2 dN.dnd 0.127204 0.0855148 0.0750919 0.102087 0.0710153 0.0728854 0.0963549 0.0507986
XM_004924636.2 dS.dnd 0.52631 0.403999 0.466723 0.518247 0.482334 0.457527 0.468062 0.277177
XM_004924643.2 dN.dnd 0.0830847 0.0617464 0.129229 0.131461 0.0807845 0.0857725 0.0907621 0.0576777
XM_004924643.2 dS.dnd 0.580527 0.428604 0.56531 0.637407 0.52817 0.508468 0.554644 0.306597
XM_004924645.2 dN.dnd 0.0794501 0.0431068 0.0424589 0.0816873 0.0463796 0.0532091 0.0605997 0.032538
XM_004924645.2 dS.dnd 0.465176 0.46447 0.541986 0.528734 0.591636 0.51167 0.493078 0.359407
XM_004924648.1 dS.dnd 0.562825 0.631708 0.579271 0.611402 0.533484 0.457822 0.694249 0.306896
XM_004924648.1 dN.dnd 0.0346725 0.0213353 0.0419426 0.0657106 0.0354656 0.0352108 0.0553833 0.0305701
XM_004924650.2 dS.dnd 0.577728 0.361285 0.576888 0.377038 0.495511 0.473248 0.499928 0.250674
XM_004924650.2 dN.dnd 0.119568 0.00631581 0.0426936 0.0273599 0.0379876 0.0687604 0.0767916 0.0218445
XM_004924651.2 dS.dnd 0.573332 0.454043 0.602486 0.658516 0.611727 0.525987 0.60299 0.307445
XM_004924651.2 dN.dnd 0.0748453 0.04651 0.0643589 0.0950422 0.0770355 0.0491764 0.0907054 0.0506622
XM_004924658.2 dS.dnd 0.581199 0.489813 0.620279 0.633292 0.56216 0.579861 0.647295 0.316737
XM_004924658.2 dN.dnd 0.0960209 0.0394247 0.0676211 0.0771757 0.0566412 0.0772686 0.0591921 0.0510531
XM_004924659.2 dS.dnd 0.572692 0.489101 0.676187 0.644416 0.526462 0.550422 0.656336 0.352193
XM_004924659.2 dN.dnd 0.0532332 0.0328282 0.0513388 0.144579 0.0222164 0.0398386 0.092998 0.0151969
XM_004924661.1 dN.dnd 0.0277788 0.00506291 0.0244718 0.0348024 0.0261158 0.00795222 0.0109814 0.0114768
XM_004924661.1 dS.dnd 0.482537 0.282817 0.550037 0.600451 0.532618 0.565166 0.525638 0.380073
XM_004924663.2 dS.dnd 0.624513 0.465785 0.666913 0.674712 0.566149 0.467415 0.642875 0.336122
XM_004924663.2 dN.dnd 0.138498 0.105927 0.147197 0.183389 0.121193 0.143606 0.114742 0.0670316
XM_004924670.2 dN.dnd 0.0494834 0.0232271 0.0453718 0.073311 0.0507238 0.0522349 0.0672915 0.0318664
XM_004924670.2 dS.dnd 0.571766 0.443407 0.619725 0.6977 0.609616 0.557122 0.602442 0.313728
XM_004924675.2 dS.dnd 0.506827 0.499758 0.606664 0.533048 0.502723 0.391681 0.62035 0.280974
XM_004924675.2 dN.dnd 0.0386623 0.0160473 0.0227709 0.041717 0.024537 0.0365503 0.030245 0.0116547
XM_004924676.2 dN.dnd 0.00998958 0.0127962 0.0789554 0.0283933 0.018226 0.0097307 0.03138 0.0231292
XM_004924676.2 dS.dnd 0.579708 0.497907 0.561903 0.635579 0.583407 0.502641 0.664869 0.301354
XM_004924687.2 dN.dnd 0.0800051 0.0655976 0.138986 0.0710666 0.0912098 0.05381 0.108937 0.0631148
XM_004924687.2 dS.dnd 0.636272 0.575111 0.624598 0.622877 0.576693 0.49015 0.623532 0.332689
XM_004924689.2 dN.dnd 0.0818597 0.0506418 0.0657963 0.0700533 0.0712305 0.0544018 0.0730086 0.0526853
XM_004924689.2 dS.dnd 0.581814 0.457523 0.577141 0.688544 0.567074 0.527235 0.603613 0.313103
XM_004924701.1 dS.dnd 0.708091 0.468699 0.637103 0.662832 0.571381 0.623456 0.546458 0.359207
XM_004924701.1 dN.dnd 0.0919632 0.0722288 0.0743825 0.127931 0.0847355 0.0820174 0.0934567 0.0751764
XM_004924705.1 dN.dnd 0.10469 0.0668656 0.106932 0.113771 0.112987 0.0989555 0.119828 0.0589546
XM_004924705.1 dS.dnd 0.627456 0.441069 0.689424 0.710293 0.589657 0.583531 0.64663 0.352286
XM_004924712.2 dN.dnd 0.030728 0.0192628 0.0258189 0.0427163 0.0401234 0.0306564 0.0344647 0.023724
XM_004924712.2 dS.dnd 0.651053 0.468183 0.623783 0.569364 0.577728 0.611894 0.644384 0.300417
XM_004924719.2 dS.dnd 0.580323 0.400774 0.700954 0.563297 0.550769 0.606603 0.520045 0.342578
XM_004924719.2 dN.dnd 0.039902 0.0393957 0.0238914 0.105667 0.0440495 0.0314797 0.047264 0.0274483
XM_004924728.2 dN.dnd 0.0659073 0.0307241 0.0752979 0.044688 0.0434606 0.0355966 0.0490646 0.0306299
XM_004924728.2 dS.dnd 0.565556 0.446703 0.605346 0.583657 0.496162 0.462572 0.536965 0.32219
XM_004924729.2 dN.dnd 0.0229731 0.0198966 0.129027 0.0624717 0.0191871 0.0101406 0.0330868 0.0275658
XM_004924729.2 dS.dnd 0.600644 0.497741 0.631631 0.728079 0.529289 0.616707 0.520772 0.33431
XM_004924732.2 dS.dnd 0.418552 0.400891 0.523666 0.446577 0.456946 0.529042 0.436566 0.278437
XM_004924732.2 dN.dnd 0.0124655 0.0176919 0.020778 0.0245716 0.0156023 0.0147023 0.0131712 0.0193155
XM_004924733.2 dS.dnd 0.649053 0.405219 0.523627 0.669463 0.562945 0.621922 0.575015 0.304737
XM_004924733.2 dN.dnd 0.0738186 0.049428 0.0400615 0.155142 0.0613707 0.0307302 0.125695 0.0538626
XM_004924734.1 dS.dnd 0.446781 0.437434 0.543034 0.514487 0.535025 0.604608 0.480308 0.423221
XM_004924734.1 dN.dnd 0.0292232 0.0171676 0.0263669 0.0547441 0.031724 0.0227167 0.0446261 0.0188823
XM_004924735.2 dS.dnd 0.363989 0.297029 0.411535 0.406691 0.449175 0.460919 0.401162 0.244385
XM_004924735.2 dN.dnd 0.0352866 0.0506742 0.0328957 0.0480476 0.0507628 0.0126122 0.0406344 0.0199553
XM_004924741.2 dS.dnd 0.60224 0.496399 0.568872 0.52183 0.603879 0.566719 0.610643 0.382297
XM_004924741.2 dN.dnd 0.0134279 0.00843405 0.0397212 0.0238212 0.0403307 0.0134683 0.029952 0.0147988
XM_004924742.1 dN.dnd 0.0961505 0.0387302 0.0897915 0.0865213 0.0772512 0.0427764 0.0702385 0.0648997
XM_004924742.1 dS.dnd 0.543227 0.426008 0.721957 0.507621 0.593332 0.511296 0.527713 0.230716
XM_004924744.2 dN.dnd 0.0488967 0.0307942 0.0552703 0.0714661 0.0730201 0.0289126 0.0349282 0.0506234
XM_004924744.2 dS.dnd 0.470906 0.34955 0.529122 0.59886 0.526751 0.550233 0.572803 0.342694
XM_004924745.2 dN.dnd 0.056903 0.0281104 0.0509588 0.0665825 0.0398914 0.033223 0.0413103 0.0211794
XM_004924745.2 dS.dnd 0.646792 0.48223 0.55337 0.66785 0.614702 0.52878 0.621745 0.314634
XM_004924752.2 dN.dnd 0.0237106 0.00874393 0.12465 0.0436096 0.0133299 0.0123957 0.0295303 0.0105823
XM_004924752.2 dS.dnd 0.487145 0.486256 0.585597 0.492673 0.427459 0.519339 0.497901 0.336129
XM_004924764.2 dS.dnd 0.578147 0.358063 0.557298 0.464579 0.534989 0.432708 0.550282 0.240456
XM_004924764.2 dN.dnd 0.0512716 0.0698035 0.323648 0.0660991 0.074087 0.074737 0.0677457 0.0378872
XM_004924767.2 dN.dnd 0.0434862 0.0242718 0.0404356 0.0467417 0.0292549 0.0300641 0.044143 0.0305819
XM_004924767.2 dS.dnd 0.55893 0.468161 0.558565 0.589696 0.519552 0.486339 0.558229 0.287258
XM_004924769.2 dN.dnd 0.0333325 0.0337386 0.117598 0.0562949 0.0332078 0.0229104 0.0290562 0.0255546
XM_004924769.2 dS.dnd 0.562307 0.444155 0.532509 0.585398 0.564335 0.492301 0.517006 0.299272
XM_004924777.2 dN.dnd 0.0792131 0.0550438 0.123991 0.160249 0.102086 0.0958277 0.122274 0.0683074
XM_004924777.2 dS.dnd 0.570659 0.542113 0.577034 0.669062 0.607358 0.67126 0.524321 0.364808
XM_004924779.2 dN.dnd 0.0233856 0.0410614 0.0562671 0.0461361 0.0173194 0.015158 0.0475458 0.0193729
XM_004924779.2 dS.dnd 0.529277 0.400669 0.517006 0.5547 0.475956 0.48024 0.532048 0.283985
XM_004924780.2 dN.dnd 0.0833725 0.0684985 0.0799237 0.109863 0.065939 0.0518776 0.120153 0.057399
XM_004924780.2 dS.dnd 0.572175 0.416932 0.590115 0.594889 0.570758 0.493614 0.571275 0.311615
XM_004924781.2 dN.dnd 0.0267503 0.0234254 0.0215268 0.029704 0.0159381 0.0237112 0.0214855 0.0218167
XM_004924781.2 dS.dnd 0.536356 0.482598 0.600648 0.613201 0.511524 0.50647 0.546137 0.330661
XM_004924783.2 dS.dnd 0.565073 0.446151 0.626413 0.657926 0.562183 0.471782 0.559106 0.310742
XM_004924783.2 dN.dnd 0.00800884 0.00201953 0.00805547 0.0129312 0.014262 0.013756 0.0188814 0.00786341
XM_004924785.2 dS.dnd 0.6407 0.474747 0.601232 0.684995 0.507091 0.463595 0.601612 0.332099
XM_004924785.2 dN.dnd 0.0974256 0.104484 0.102604 0.148445 0.120606 0.084233 0.089051 0.0723645
XM_004924787.2 dN.dnd 0.0424474 0.0220466 0.063397 0.0392265 0.0259178 0.0187057 0.0540628 0.0313787
XM_004924787.2 dS.dnd 0.585974 0.425627 0.579945 0.649343 0.512959 0.467317 0.537713 0.286522
XM_004924789.1 dN.dnd 0.0745804 0.0385473 0.104699 0.0843215 0.063547 0.0415326 0.0852434 0.0397762
XM_004924789.1 dS.dnd 0.640573 0.508556 0.621053 0.730261 0.648536 0.541774 0.62706 0.411062
XM_004924790.2 dN.dnd 0.0426627 0.0155365 0.0318427 0.0775866 0.0224706 0.0174817 0.0281837 0.0245144
XM_004924790.2 dS.dnd 0.628156 0.462589 0.63421 0.628101 0.532624 0.572559 0.527943 0.334087
XM_004924794.2 dS.dnd 0.599722 0.527251 0.641678 0.699923 0.62031 0.592279 0.594849 0.310284
XM_004924794.2 dN.dnd 0.0904647 0.0623605 0.0814796 0.169411 0.0794705 0.100153 0.103911 0.0443891
XM_004924801.2 dN.dnd 0.0522623 0.038564 0.0741258 0.0621153 0.0377969 0.0411659 0.0468787 0.0369419
XM_004924801.2 dS.dnd 0.608944 0.47604 0.574842 0.64425 0.525498 0.550499 0.586463 0.324531
XM_004924803.2 dS.dnd 0.470802 0.386661 0.503281 0.486338 0.496602 0.5312 0.488649 0.308624
XM_004924803.2 dN.dnd 0.0647435 0.0642319 0.0601746 0.092396 0.0432283 0.032658 0.0440838 0.0583001
XM_004924810.2 dN.dnd 0.118921 0.0833066 0.0779793 0.185105 0.0997156 0.083985 0.1202 0.0465913
XM_004924810.2 dS.dnd 0.637721 0.497821 0.65373 0.689278 0.57342 0.588419 0.645591 0.359013
XM_004924811.2 dN.dnd 0.0978821 0.07064 0.0689563 0.0890714 0.0815837 0.0542365 0.0794317 0.0449975
XM_004924811.2 dS.dnd 0.653315 0.50645 0.639629 0.757948 0.593345 0.626705 0.619738 0.375242
XM_004924812.2 dS.dnd 0.586217 0.43942 0.656728 0.709201 0.57447 0.493264 0.581219 0.309693
XM_004924812.2 dN.dnd 0.0542052 0.0321657 0.0619878 0.0873583 0.0695563 0.0394635 0.0824338 0.0370645
XM_004924820.2 dS.dnd 0.49554 0.432166 0.582911 0.597385 0.562574 0.498494 0.551692 0.304314
XM_004924820.2 dN.dnd 0.0498898 0.0371093 0.0422301 0.0616675 0.0460857 0.0395019 0.0375627 0.0207803
XM_004924822.1 dN.dnd 0.00642731 0.0233614 0.0745919 0.0870281 0.0223977 0.0235211 0.00767297 0.00647734
XM_004924822.1 dS.dnd 0.560688 0.484179 0.624987 0.628573 0.604702 0.579587 0.59801 0.44715
XM_004924823.2 dN.dnd 0.174157 0.0492537 0.0795743 0.144018 0.109346 0.188057 0.104418 0.0744845
XM_004924823.2 dS.dnd 0.542919 0.614435 0.552203 0.757655 0.594905 0.614267 0.787777 0.365644
XM_004924824.2 dN.dnd 0.0423523 0.0488133 0.0879553 0.0825339 0.0486966 0.0399079 0.0551001 0.0509469
XM_004924824.2 dS.dnd 0.59098 0.40147 0.592309 0.559479 0.526036 0.466561 0.565832 0.350246
XM_004924828.1 dS.dnd 0.611193 0.464728 0.584212 0.604001 0.516617 0.498243 0.614511 0.307146
XM_004924828.1 dN.dnd 0.0322113 0.0161274 0.0108309 0.0127942 0.0256876 0.0240446 0.0199457 0.0146542
XM_004924829.2 dS.dnd 0.506241 0.393586 0.548473 0.500255 0.584241 0.527284 0.502486 0.375377
XM_004924829.2 dN.dnd 0.0269952 0.0169578 0.0142089 0.024611 0.0292429 0.0142666 0.04833 0.0208613
XM_004924833.1 dN.dnd 0.0873292 0.0483138 0.0541643 0.0817574 0.082834 0.0624412 0.0574972 0.0509127
XM_004924833.1 dS.dnd 0.632056 0.46678 0.56182 0.639813 0.564271 0.547496 0.625042 0.331322
XM_004924837.2 dS.dnd 0.561771 0.467824 0.628662 0.582491 0.5773 0.471261 0.520254 0.337444
XM_004924837.2 dN.dnd 0.052365 0.0302765 0.0466807 0.0541609 0.0326021 0.0350918 0.0291135 0.0248577
XM_004924851.2 dN.dnd 0.0387365 0.0310541 0.135406 0.0875216 0.0458183 0.0332184 0.0563015 0.0369773
XM_004924851.2 dS.dnd 0.571109 0.470871 0.658268 0.620615 0.597207 0.577602 0.590467 0.311602
XM_004924852.2 dS.dnd 0.618948 0.452678 0.728472 0.592869 0.599092 0.553289 0.598209 0.332577
XM_004924852.2 dN.dnd 0.0441314 0.0699049 0.288704 0.0678102 0.0507831 0.0499879 0.0418106 0.0223362
XM_004924869.2 dS.dnd 0.494905 0.438067 0.724386 0.785869 0.656938 0.541529 0.632412 0.331098
XM_004924869.2 dN.dnd 0.0697637 0.09238 0.159907 0.198187 0.0554921 0.0523003 0.102219 0.0621839
XM_004924877.2 dS.dnd 0.456219 0.39374 0.765574 0.531322 0.587484 0.497912 0.734016 0.297309
XM_004924877.2 dN.dnd 0.0436056 0.0530857 0.0530775 0.12576 0.0721642 0.0503425 0.114431 0.0367868
XM_004924886.2 dS.dnd 0.474151 0.300656 0.604269 0.527128 0.496768 0.548975 0.522297 0.335166
XM_004924886.2 dN.dnd 0.00837877 0.000643763 0.00870159 0.00915356 0.00786404 0.0102364 0.0124892 0.00600564
XM_004924895.2 dN.dnd 0.00835289 0.0249246 0.0189308 0.0199505 0.000790457 0.0202572 0.0409233 0.0266832
XM_004924895.2 dS.dnd 0.512535 0.401169 0.738101 0.646342 0.551544 0.580905 0.621867 0.337462
XM_004924899.2 dS.dnd 0.623916 0.427267 0.593631 0.622778 0.546103 0.556337 0.556592 0.307884
XM_004924899.2 dN.dnd 0.0722067 0.0247476 0.0734527 0.0760046 0.0223447 0.0188636 0.0313805 0.0217997
XM_004924930.2 dS.dnd 0.614721 0.482168 0.614988 0.73431 0.602773 0.502005 0.637762 0.371771
XM_004924930.2 dN.dnd 0.0698194 0.0222449 0.0314011 0.0824123 0.0652938 0.0424618 0.0708551 0.0260367
XM_004924937.2 dS.dnd 0.575683 0.402807 0.551991 0.358817 0.404393 0.51902 0.281345 0.353504
XM_004924937.2 dN.dnd 0.0275713 0.0153726 0.0221741 0.0446629 0.0128759 0.0299273 0.0571799 0.02698
XM_004924938.2 dS.dnd 0.634212 0.585651 0.51323 0.385597 0.585123 0.616055 0.398195 0.277891
XM_004924938.2 dN.dnd 0.0595337 0.0324272 0.0240895 0.0477704 0.0204457 0.0340288 0.0656651 0.0135925
XM_004924940.2 dN.dnd 0.0715054 0.0271407 0.0552088 0.0384138 0.0329771 0.072679 0.066789 0.0518666
XM_004924940.2 dS.dnd 0.650191 0.605991 0.691513 0.667092 0.713147 0.713542 0.622379 0.340063
XM_004924942.2 dS.dnd 0.631353 0.446287 0.576403 0.650672 0.56488 0.55449 0.579608 0.323686
XM_004924942.2 dN.dnd 0.0113225 0.0234988 0.0376279 0.0266576 0.0190226 0.0121653 0.027673 0.0204238
XM_004924947.2 dN.dnd 0.0245647 0.0145839 0.0212303 0.0239655 0.0317776 0.0353173 0.0124814 0.0184263
XM_004924947.2 dS.dnd 0.570842 0.465213 0.57459 0.630611 0.536625 0.577361 0.50298 0.335701
XM_004924951.2 dN.dnd 0.0579144 0.0303337 0.0676853 0.0740921 0.054628 0.0381833 0.0668384 0.0376672
XM_004924951.2 dS.dnd 0.456371 0.393039 0.5668 0.678723 0.536511 0.551784 0.519721 0.30664
XM_004924970.2 dS.dnd 0.447278 0.376215 0.358381 0.902762 0.498239 0.45526 0.883074 0.271621
XM_004924970.2 dN.dnd 0.046418 0.170172 0.000956765 0.000496384 0.14113 0.000425504 0.0399836 0.0504732
XM_004924977.2 dS.dnd 0.326231 0.268054 0.398514 0.30926 0.6809 0.315115 0.474996 0.290408
XM_004924977.2 dN.dnd 0.0451795 0.0343773 0.031284 0.0240873 0.0230343 0.01705 0.0141619 0.0103827
XM_004924991.1 dS.dnd 0.501979 0.552773 0.517996 0.64164 0.589811 0.564207 0.588895 0.253895
XM_004924991.1 dN.dnd 0.11179 0.126897 0.131608 0.184223 0.138932 0.0968375 0.102343 0.0843242
XM_004924994.2 dN.dnd 0.0556347 0.0229155 0.0301755 0.0358565 0.0246788 0.0735272 0.0507116 0.0225176
XM_004924994.2 dS.dnd 0.633396 0.535307 0.571769 0.615137 0.498661 0.562506 0.543532 0.323426
XM_004924995.2 dN.dnd 0.0580592 0.0276201 0.0253994 0.0643627 0.0171074 0.0208854 0.0370024 0.0123391
XM_004924995.2 dS.dnd 0.553889 0.47965 0.575419 0.735363 0.543054 0.477392 0.585926 0.336402
XM_004925000.2 dN.dnd 0.234764 0.107626 0.139321 0.184404 0.107923 0.135713 0.114998 0.0708329
XM_004925000.2 dS.dnd 0.700425 0.56321 0.618527 0.814894 0.636161 0.613039 0.6426 0.352924
XM_004925003.2 dS.dnd 0.570666 0.458538 0.59539 0.655311 0.600761 0.616414 0.539541 0.271613
XM_004925003.2 dN.dnd 0.0834789 0.0732233 0.126674 0.132526 0.12571 0.101141 0.107562 0.0560542
XM_004925006.2 dN.dnd 0.0423856 0.171066 0.00776388 0.0368898 0.171778 0.0167031 0.00326497 0.0166949
