GeneID  node1 L_accius node2 node3 P_sennae L_sinapis node4 C_cecrops node5 D_plexippus H_melpomene P_machaon B_mori
NM_001177409.1  999.00000 0.00894 999.00000 999.00000 0.00779 0.03714 114.11216 0.03934 999.00000 0.01740 0.00171 0.03295 0.02206
NM_001177861.1  1.94892 0.00736 0.00010 3.63431 0.00267 4.02763 0.00010 0.01945 0.00726 0.00857 0.00675 0.01439 0.01401
NM_001177862.1  999.00000 0.00881 999.00000 0.14836 0.05416 0.06436 999.00000 0.02812 0.01892 0.02279 0.19746 0.02950 0.08534
NM_001184738.1  0.13756 0.00700 0.00010 0.05558 0.01727 0.02409 576.37006 0.03301 999.00000 0.01562 0.01304 0.02941 0.01627
NM_001190211.1  999.00000 0.02759 999.00000 999.00000 0.02110 0.03213 0.03256 0.07627 0.03832 0.03674 0.03123 0.05804 0.00208
NM_001190841.1  0.10055 0.04018 999.00000 0.08012 0.01913 0.05562 999.00000 0.10047 0.02299 0.04366 0.01346 0.02597 0.11047
NM_001190842.1  329.12241 0.15019 0.08316 999.00000 0.03856 0.09426 0.08564 1.03822 0.00010 0.14486 0.16602 466.97173 0.04954
NM_001195077.1  999.00000 0.06467 999.00000 999.00000 0.04086 0.04417 999.00000 0.06868 999.00000 0.06272 0.09940 0.06066 0.03717
NM_001195080.1  0.12330 0.07350 0.05293 0.09080 0.02969 0.04789 943.26179 0.01726 999.00000 0.03735 0.03510 0.07803 0.03683
NM_001195206.1  999.00000 0.06951 0.07358 0.26200 0.02581 0.04145 999.00000 0.12509 0.03857 0.04127 0.06946 0.20929 0.01465
NM_001195453.1  54.00078 0.10531 0.04545 999.00000 0.02205 0.09117 133.67535 0.01167 370.80296 0.03630 0.01617 0.01159 0.01219
NM_001195457.1  999.00000 0.10992 999.00000 588.05179 0.08226 0.00964 999.00000 0.07912 0.00010 0.09062 0.13214 0.07170 0.09347
NM_001195462.1  999.00000 0.00496 0.00010 0.00010 0.17296 0.00535 999.00000 0.00156 0.00010 0.00330 0.19277 0.00801 0.02238
NM_001195464.1  999.00000 0.00226 999.00000 999.00000 0.06910 0.05541 999.00000 0.06920 0.00950 0.06600 999.00000 0.00162 0.33898
NM_001195465.1_3  103.65349 0.03053 0.00010 999.00000 0.01512 0.03639 0.00010 0.02346 0.03109 0.04634 0.02705 0.03668 0.02105
NM_001195467.1  999.00000 0.10692 0.02094 0.01956 999.00000 0.00327 999.00000 0.13282 999.00000 0.05055 0.00191 0.00156 0.03543
NM_001195700.1  180.35281 0.00500 0.07928 0.07119 0.01292 0.02403 999.00000 0.03502 0.05900 0.02855 0.01679 0.02069 0.01455
NM_001195704.1  0.01708 0.01679 0.00010 999.00000 0.15461 0.02891 0.00010 0.02108 0.19509 0.05647 0.04965 0.06494 0.01435
NM_001198723.1  999.00000 0.04123 0.03847 0.22842 0.00277 0.02893 0.01712 0.03988 0.01402 0.04818 0.03920 0.05086 0.05862
NM_001199609.1  0.00010 0.02028 26.79112 0.00388 44.33717 0.01040 0.00010 0.02692 0.00751 0.02456 0.41023 0.01724 138.46689
NM_001199937.1  999.00000 0.01264 999.00000 999.00000 0.01345 0.03453 583.81092 0.00910 999.00000 0.03070 0.01925 0.01433 0.03863
NM_001200007.1  999.00000 0.10340 0.24434 0.14060 0.01856 0.08357 999.00000 0.06903 0.02141 0.02808 0.02962 0.11616 0.01572
NM_001201432.1  559.62648 0.00945 0.01200 0.03931 0.01335 0.01258 0.00368 0.01079 999.00000 0.01254 0.00865 0.00477 0.02120
NM_001201436.1  0.02877 0.02460 999.00000 0.04611 0.01929 0.03020 0.03412 0.02597 0.04191 0.02645 0.01575 0.02265 0.04025
NM_001201437.1  999.00000 0.02171 0.00452 0.15552 0.00415 0.01727 999.00000 0.02034 0.01626 0.00800 0.00947 0.01684 0.00959
NM_001201579.1  999.00000 0.05718 999.00000 0.01605 0.02677 0.02666 999.00000 0.03769 0.00110 999.00000 0.02039 0.06592 0.02178
NM_001202536.1  66.20175 0.15530 62.67069 0.01338 0.16023 0.11002 5.88049 0.04148 0.00011 0.00216 0.00287 0.01793 0.04140
NM_001204479.1  999.00000 0.00911 220.97950 0.00428 0.01457 0.01325 0.00430 0.00993 0.01855 0.01694 0.01703 0.02010 0.01607
NM_001204481.1  0.03191 999.00000 0.00010 0.00126 0.18764 0.30048 0.00010 0.17050 0.15654 0.01003 674.06624 0.01930 999.00000
NM_001252420.1  0.00928 0.00235 999.00000 0.03216 0.31611 0.06585 0.00010 0.00430 0.38223 0.12348 0.30832 0.16093 0.52654
NM_001252673.1  0.00341 0.00883 0.00010 0.00010 0.00252 0.00817 0.00010 0.01633 0.00010 0.01067 0.00351 0.00704 0.00652
NM_001256985.1  88.86461 0.09388 557.31636 0.01069 0.07445 0.01381 0.01303 122.52795 19.61618 0.00204 0.01795 0.06025 0.02267
NM_001256987.1  0.00010 0.04501 999.00000 999.00000 0.06574 0.00095 0.00010 0.04449 0.01623 0.02386 0.05845 0.03825 0.05039
NM_001256989.1  0.00010 0.01625 0.00010 0.00010 0.09561 0.03525 999.00000 0.03396 999.00000 0.03133 0.06489 999.00000 0.00037
NM_001256990.1  0.00010 0.00602 0.00010 0.00010 0.00010 0.01414 999.00000 0.02625 0.00010 0.00010 0.01213 745.25935 0.00010
NM_001257002.1  0.00843 0.00260 0.02323 0.03985 0.00010 0.02463 0.00010 0.02746 0.01526 0.01867 0.07576 0.00323 0.01023
NM_001257004.1  34.04309 0.00454 13.60356 16.85864 0.00415 0.00358 0.02655 0.03133 9.87769 0.00212 0.01104 0.02129 0.00967
NM_001257007.1  0.00010 0.01126 999.00000 999.00000 0.02678 0.05512 0.00904 0.00740 0.03368 0.02476 0.00231 0.09502 0.03441
NM_001257008.1  0.07647 0.02346 0.03473 0.03669 0.06445 0.04893 0.00201 0.09572 999.00000 0.06749 0.05047 0.13638 0.07784
NM_001257011.1  748.14288 0.01820 999.00000 218.15747 0.00856 0.02036 0.05798 0.21531 999.00000 0.03106 0.01700 0.01995 0.03146
NM_001257012.1  0.01172 0.00259 999.00000 0.03585 0.00747 0.00491 0.00010 0.00314 0.16990 0.00671 0.00295 0.00862 0.00362
NM_001257025.1  0.10418 0.00046 0.00010 0.32238 0.03232 0.00534 0.00446 0.02028 0.00789 0.02483 0.01277 0.00573 0.00884
NM_001257044.1  999.00000 0.03538 0.02721 0.04726 0.06742 0.06880 0.08312 0.07963 999.00000 0.05201 0.06186 0.07826 0.08666
NM_001257046.1  15.89916 0.00955 605.88043 0.06843 0.01812 0.02473 6.76494 0.02714 0.13267 0.01952 0.00922 0.02711 0.02475
NM_001257055.1  22.44423 0.16995 43.72929 0.00010 0.16818 0.12702 35.25090 0.23427 0.00378 2.06560 0.00354 0.01166 0.15562
NM_001257337.1  999.00000 0.00705 999.00000 0.06238 0.00912 0.01353 0.00824 0.01583 0.00010 0.00589 0.02718 0.01874 0.01068
NM_001279362.1  999.00000 0.75599 413.52066 606.79223 0.00010 999.00000 0.21921 0.00010 999.00000 0.00010 0.00446 0.00223 0.00220
NM_001279388.1  999.00000 0.00871 900.07818 999.00000 0.02299 0.01572 999.00000 0.01134 999.00000 0.01122 0.01096 0.01840 0.00091
NM_001279391.1  3.01045 0.00832 13.17920 0.01712 0.02144 0.00294 86.93667 0.00557 7.98588 0.01941 0.00089 0.04833 0.00754
NM_001279397.1  5.72758 999.00000 9.01156 999.00000 0.00010 0.00475 999.00000 0.29811 0.00010 0.05566 0.00010 0.14719 0.00181
NM_001279400.1  999.00000 0.08072 999.00000 999.00000 0.01481 0.06222 999.00000 0.04050 999.00000 0.08923 0.02890 0.04314 0.00225
NM_001279414.1  0.00010 0.20870 0.65374 999.00000 0.05513 0.05749 0.00010 0.06937 230.54735 0.07538 0.03564 0.04281 0.08967
NM_001279424.1  999.00000 0.03166 0.14258 0.02053 0.02775 0.04236 999.00000 0.05122 0.03136 0.03938 0.04845 0.03485 0.03026
NM_001279429.1  275.50388 0.02346 343.97898 0.01266 0.01097 0.03123 999.00000 0.02990 0.03543 0.02099 0.01345 0.00979 0.02492
NM_001279454.1  115.88387 0.07799 0.00408 0.04470 0.02459 0.05954 0.11719 0.18428 999.00000 0.03795 0.03207 0.06884 0.07132
NM_001279459.1  0.00010 0.06765 0.00010 999.00000 0.01949 0.05754 999.00000 0.01195 999.00000 0.02086 0.02208 0.00245 0.04650
NM_001279462.1  0.02007 0.02015 30.20302 0.00726 0.05591 0.05793 0.00021 0.00069 0.00051 0.00110 0.00866 0.05242 0.02015
NM_001279484.1  342.73141 0.03925 0.00010 0.22320 0.01100 0.01012 143.34529 0.01810 0.00243 0.01269 0.01377 0.02155 0.01636
NM_001279507.1  29.93905 0.02405 7.52835 0.04560 0.02333 0.04209 0.02277 0.02258 0.00010 0.02783 0.01055 0.03289 0.02041
NM_001281891.1  999.00000 0.05887 0.04767 999.00000 0.02622 0.02066 0.03154 0.01949 999.00000 0.07156 0.03117 0.01048 0.06091
NM_001281894.1  0.71069 0.01608 287.54606 0.03251 0.02240 0.03264 168.94114 0.02728 0.00619 0.00101 0.06627 0.02856 0.01455
NM_001281896.1  999.00000 0.02134 999.00000 41.92538 0.02775 0.12260 742.59380 0.00768 999.00000 0.15951 0.10595 0.04528 0.00455
NM_001281897.1  42.81302 0.01305 0.05633 0.06189 0.01034 0.01287 0.04819 0.03118 0.05164 0.02949 0.03828 0.01604 0.02083
NM_001282221.1  999.00000 0.02363 0.00598 999.00000 0.03786 0.01369 0.01681 0.04422 999.00000 0.04299 0.00667 0.04198 0.04572
NM_001282222.1  999.00000 0.07755 167.34063 0.16615 0.15327 0.34666 999.00000 0.14985 0.15319 0.17810 0.07507 0.10781 0.09671
NM_001282223.1  999.00000 0.02413 0.01209 0.04460 0.01387 0.02506 999.00000 0.01946 0.05474 0.03975 0.02583 0.01376 0.01142
NM_001285966.1  0.00010 0.00010 0.00010 999.00000 999.00000 0.00756 0.00010 0.01595 0.00010 0.00055 0.00010 999.00000 0.00010
NM_001287400.1  0.02150 0.02399 126.39654 0.05023 0.05010 0.07578 999.00000 999.00000 0.00151 0.10569 0.02786 0.09841 0.00142
NM_001287830.1  471.60524 0.00198 0.00010 999.00000 0.01867 0.23439 37.74529 161.40362 0.00010 0.03878 0.01626 0.06901 0.01356
NM_001287837.1  0.00639 0.14271 59.64173 11.51266 0.01622 0.01442 0.00010 0.01102 24.18657 0.01223 0.00989 0.01362 0.00644
NM_001287844.1  999.00000 0.01401 999.00000 999.00000 0.00790 0.03597 998.93603 0.02810 660.72109 0.02021 0.04306 0.04518 0.01833
NM_001288670.1  0.00010 0.01563 0.00010 0.00010 0.02474 0.00942 0.00010 0.08935 0.00010 0.00492 0.00272 0.01020 0.00497
NM_001294284.1  0.09430 0.04547 0.07706 478.43152 998.87213 0.02131 0.00010 0.02639 391.91963 0.00074 0.04061 0.60553 0.01413
NM_001294286.1  165.56420 0.01904 0.04336 35.12504 0.01630 0.02021 0.00102 0.03165 999.00000 0.07579 0.03776 0.16325 0.00776
XM_004921481.2  0.00758 0.01362 0.00010 0.00365 0.00555 0.04854 0.00010 0.00435 0.00010 999.00000 0.01409 0.09781 0.00614
XM_004921496.1  999.00000 0.10371 999.00000 0.15044 0.07064 0.03009 999.00000 0.07725 627.27039 0.06508 0.05794 0.04431 0.06676
XM_004921499.2  999.00000 0.05410 999.00000 0.05057 0.03179 0.04521 999.00000 0.19850 0.02891 0.09079 0.03764 0.16734 0.02244
XM_004921505.2  0.00268 0.03051 0.00010 5.63472 0.02464 0.01942 0.07703 0.03955 6.77804 0.06132 0.00025 0.84511 0.00040
XM_004921507.2  999.00000 0.02094 999.00000 999.00000 0.01324 0.03390 999.00000 0.02974 999.00000 0.01988 0.02423 0.04084 0.02655
XM_004921508.2  999.00000 0.17184 0.00010 0.00010 0.09634 0.38042 0.00010 999.00000 0.00010 0.00412 999.00000 999.00000 0.05592
XM_004921514.2  0.06988 0.28022 0.00010 999.00000 0.06539 0.05199 0.00010 0.00432 999.00000 0.03775 0.14655 0.05025 0.20936
XM_004921517.2  998.99515 0.02133 0.00010 0.03469 0.05505 0.02798 0.01142 0.03718 999.00000 0.10300 0.00799 0.07211 0.00754
XM_004921520.1  0.00179 0.00261 0.00139 0.02810 0.00754 0.01060 0.79593 0.01301 0.00227 0.00392 0.00805 0.01278 0.01248
XM_004921522.2  999.00000 999.00000 757.99503 999.00000 0.05786 0.00137 0.00010 0.00131 0.00010 0.01027 0.02685 0.00063 0.01848
XM_004921526.2  0.12819 0.00628 999.00000 0.28879 0.10203 0.20428 944.51948 0.13123 999.00000 0.05696 0.14472 0.17327 0.14334
XM_004921528.2  222.15814 0.04372 550.71591 0.06420 0.03840 0.04170 999.00000 0.02127 511.51136 0.06872 0.07040 0.00131 0.11125
XM_004921529.2  109.44848 0.01234 58.85264 14.97909 0.02199 0.11884 0.03414 0.15293 13.06923 0.03315 0.00404 0.11853 0.05572
XM_004921534.2  0.03276 0.04135 999.00000 0.06666 0.02849 0.05096 0.06643 0.04579 468.44796 0.03893 0.04730 0.04253 0.06297
XM_004921535.2  0.00010 0.02091 0.01029 0.01151 0.00953 0.00342 0.07003 0.00341 0.00010 0.01834 0.00279 0.01408 0.00684
XM_004921537.2  0.00010 0.00246 0.00010 0.02402 0.00010 0.10657 0.00010 0.38994 0.87485 0.00025 0.00010 45.30931 0.00012
XM_004921538.2  999.00000 0.10284 0.00010 0.05992 0.02546 0.03518 0.00010 0.07981 0.03188 0.05229 0.02799 0.20277 0.01706
XM_004921539.2  0.01519 0.09213 999.00000 0.16742 0.08390 0.01112 999.00000 0.11147 0.02885 0.06515 0.03420 0.13096 0.08753
XM_004921540.2  0.00010 0.00572 0.00010 0.11951 0.01410 0.06005 0.01630 0.02308 0.00010 0.01270 0.00746 0.06733 0.01231
XM_004921541.1  824.24872 0.12018 999.00000 0.15847 0.08311 0.05719 999.00000 0.17863 0.01352 0.00224 999.00000 0.06814 0.09654
XM_004921545.2  0.00764 0.02412 0.03217 219.88654 0.03941 0.00813 999.00000 0.02487 999.00000 0.01498 0.11600 275.24061 0.05263
XM_004921546.2  0.00535 0.05344 146.67730 0.01338 0.02413 0.00321 541.78503 0.05457 0.06714 0.01667 0.00590 0.01817 0.01315
XM_004921547.2  999.00000 0.00850 999.00000 0.01816 0.03389 0.03931 0.00520 0.03656 999.00000 0.01177 0.01674 0.01587 0.08354
XM_004921550.2  0.00010 0.00798 0.00010 645.06260 0.00507 0.03751 0.01795 0.01753 999.00000 0.01109 0.00010 999.00000 0.00519
XM_004921554.2  0.02716 0.00094 1.01148 3.47321 0.05984 0.00742 0.00520 0.01277 2.00685 0.00133 0.02532 0.01745 0.01856
XM_004921559.2  0.24703 0.05264 0.06822 0.01693 0.03145 0.03125 0.07887 0.01493 0.05622 0.02401 0.02156 0.04647 0.03185
XM_004921561.2  0.00010 0.18609 0.06342 0.75706 0.08036 0.05483 999.00000 0.00152 999.00000 0.03376 0.07062 0.00944 0.14158
XM_004921567.2  303.12825 0.02115 943.88655 378.55055 0.01065 0.01314 999.00000 0.01743 30.06047 0.01197 0.01781 0.00976 0.01509
XM_004921573.2  999.00000 0.06813 999.00000 156.29830 0.02775 0.00188 999.00000 0.04383 0.10010 0.04337 0.01669 0.03418 0.08521
XM_004921583.2  360.27334 0.03892 999.00000 82.18737 0.00878 0.06432 999.00000 0.04747 0.11737 0.03430 0.05262 0.01222 0.07168
XM_004921585.2  0.26434 0.01547 62.93254 0.01085 0.00981 0.01756 0.00634 0.01162 0.00612 0.01603 0.01135 0.01660 0.01397
XM_004921589.2  0.08629 0.01834 0.00766 838.11272 0.01891 0.03492 0.21902 0.10537 0.00010 0.02849 0.06732 0.07252 0.02448
XM_004921595.2  6.26969 0.17060 0.00059 1.33838 0.25854 0.04324 2.74872 0.00262 6.41690 0.02260 0.04157 0.02541 0.01292
XM_004921606.2  0.00010 0.06176 0.00010 0.00010 0.01166 0.01210 0.00010 0.07801 0.01483 0.00010 0.00010 0.02436 0.01780
XM_004921609.2  999.00000 0.01373 233.44630 320.32145 0.01192 0.03123 887.91023 0.00812 793.16433 0.01745 0.01828 0.02059 0.01231
XM_004921612.2  4.06901 0.00853 0.00010 0.23341 0.00300 0.01371 0.00800 0.06768 78.43706 0.00917 0.01283 0.02189 0.00128
XM_004921613.2  8.25076 0.05938 6.50196 0.11602 0.07550 0.00318 0.19084 0.07787 3.43095 0.05253 0.05582 0.03813 0.06966
XM_004921620.2  999.00000 0.02295 999.00000 999.00000 0.03216 0.02685 259.25529 0.02139 400.05917 0.01121 0.02678 0.08042 0.02609
XM_004921647.2  0.49294 0.02490 0.02006 0.03823 0.06677 0.02002 147.24000 0.00970 24.99318 0.03887 0.04620 0.01444 0.02328
XM_004921650.2  999.00000 0.04398 999.00000 0.07036 0.02626 0.04120 642.87023 0.01452 999.00000 0.09965 0.04843 0.04502 0.07686
XM_004921654.1  0.01187 0.01171 999.00000 0.01629 0.00846 0.01535 516.62934 0.01904 0.00682 0.01629 0.01797 0.02689 0.03247
XM_004921655.2  999.00000 0.03264 0.02328 999.00000 0.01818 0.05479 999.00000 0.05762 0.03360 0.04628 0.04460 0.06597 0.03752
XM_004921667.2  400.71071 0.01913 0.00129 720.12090 0.00139 0.01216 97.16610 0.00766 0.00649 0.00508 0.00475 0.01374 0.00471
XM_004921668.2  0.00010 0.03096 999.00000 0.06722 0.01852 0.03862 999.00000 0.02163 0.04058 0.03083 0.01630 0.08454 0.02637
XM_004921670.2  999.00000 0.05344 999.00000 0.01524 0.05935 0.04678 0.02092 0.05497 0.09340 0.07083 0.04341 0.05767 0.05056
XM_004921675.1  0.15565 0.01998 0.05167 0.03261 0.05639 0.06486 0.18447 0.08311 999.00000 0.04680 0.04816 0.11086 0.03226
XM_004921676.2  0.00010 0.00781 0.00703 0.00211 0.00900 0.01467 186.94496 0.00733 0.00697 0.00481 0.00177 0.01750 0.00186
XM_004921680.2  0.11611 0.04675 0.09178 999.00000 0.03414 0.04420 0.00010 0.05538 841.47898 0.03691 0.04506 0.05940 0.01726
XM_004921681.2  0.06421 0.01449 0.03746 0.02689 0.01408 0.02264 0.08974 0.02287 0.02463 0.02533 0.04420 0.02520 0.02946
XM_004921682.2  999.00000 0.01263 695.28157 0.03133 0.02677 0.02730 0.01845 0.07895 0.11096 0.02737 0.03151 0.02342 0.01618
XM_004921685.2  0.04132 0.02122 552.54983 0.01798 0.01031 0.02755 849.70227 0.03194 0.03071 0.01930 0.02856 0.01370 0.02542
XM_004921687.2  558.36105 0.03430 441.84689 999.00000 0.00099 0.03717 228.00017 0.01849 436.83446 0.04466 0.03102 0.02334 0.01963
XM_004921688.2  387.13377 0.06447 741.11986 0.03241 0.02295 0.03083 734.57660 0.05753 999.00000 0.03272 0.04330 0.05489 0.03237
XM_004921690.2  0.20321 0.01272 0.22030 0.01580 0.00632 0.02536 0.01646 0.02759 914.54988 0.00859 0.01646 0.02256 0.01746
XM_004921693.2  999.00000 0.03438 999.00000 0.03206 0.02489 0.03767 999.00000 0.03381 999.00000 0.03602 0.04016 0.02482 0.06385
XM_004921703.2  0.00010 0.00010 0.00010 0.00010 0.00080 0.00553 0.00010 0.13211 0.00010 0.01596 999.00000 0.00010 0.00010
XM_004921715.2  999.00000 0.00830 999.00000 285.05477 0.01758 0.02036 467.31843 0.02582 839.54960 0.00976 0.02629 0.01145 0.02098
XM_004921727.2  8.26981 0.03123 0.04198 0.06857 0.03299 0.06614 0.37401 0.02421 0.02172 0.01013 0.02160 0.04078 0.02377
XM_004921742.2  999.00000 0.07933 0.00010 999.00000 0.01115 999.00000 0.00010 0.31954 999.00000 0.00771 0.03651 0.04646 0.06382
XM_004921744.2  0.00010 0.02480 999.00000 293.03523 0.03668 0.00109 0.00146 0.04858 999.00000 0.08304 0.02180 0.04605 0.04739
XM_004921745.2  999.00000 0.00846 0.01721 0.14039 0.00704 0.02310 0.00010 0.01579 0.00216 0.02725 0.00577 0.01539 0.02011
XM_004921747.2  0.02485 0.01804 999.00000 0.01864 0.03559 0.02835 0.00854 0.02048 0.05315 0.02433 0.01560 0.02527 0.03755
XM_004921749.2  0.02971 0.02312 999.00000 999.00000 0.05006 0.03865 0.01824 0.04332 0.01149 0.03679 0.06395 0.04733 0.06251
XM_004921751.2  0.05026 0.02169 0.00010 0.00010 0.00942 0.00222 999.00000 999.00000 0.00010 0.00037 0.01534 0.00790 999.00000
XM_004921755.2  999.00000 0.01816 999.00000 0.11393 0.01193 0.05993 302.12698 0.02069 999.00000 0.05440 0.02770 0.02365 0.03687
XM_004921761.1  999.00000 0.06718 999.00000 0.26226 0.05360 0.11170 370.42048 0.09241 999.00000 0.10342 0.04069 0.15077 0.11462
XM_004921762.2  999.00000 0.09425 0.11006 0.04060 0.07302 0.10714 0.14151 0.05713 0.04034 0.02786 0.11106 0.06287 0.10749
XM_004921765.2  999.00000 0.07700 0.00010 0.02956 0.02091 0.05274 0.04386 0.04886 999.00000 0.02383 0.02265 0.05423 0.05452
XM_004921778.2  0.00010 0.07400 141.75774 0.00010 0.09929 0.13920 0.02601 0.28673 0.00315 0.05471 124.77017 0.04199 0.01335
XM_004921780.2  0.05354 0.04973 999.00000 0.04128 0.02043 0.03386 0.09546 0.05557 0.01860 0.02505 0.01473 0.01550 0.02584
XM_004921784.2  0.01887 0.04350 0.03270 983.34556 0.03828 0.02146 999.00000 0.06926 419.20371 0.05877 0.05446 0.07751 0.04171
XM_004921789.1  999.00000 0.01390 0.00391 0.03090 0.01068 0.00574 0.00010 0.01215 999.00000 0.01203 0.01676 0.04575 0.00319
XM_004921790.1  0.02309 606.38651 0.00010 753.46556 685.67651 0.02469 999.00000 0.00135 0.00010 0.04897 0.01597 0.03626 0.11376
XM_004921793.1  0.00014 0.02549 9.30158 0.10866 0.03627 0.05944 1.45814 0.08269 7.07306 0.06145 0.00129 0.01512 0.00163
XM_004921795.2  999.00000 0.03990 0.15001 999.00000 0.01280 0.05500 999.00000 0.03918 999.00000 0.04952 0.04089 0.02388 0.04112
XM_004921799.1  805.61607 0.12181 999.00000 0.06993 0.07219 0.10727 999.00000 0.10240 0.35985 0.08573 0.07277 0.08860 0.09560
XM_004921800.2  0.00010 0.02982 0.00259 0.00182 0.01023 0.01118 6.19909 0.09573 8.76920 0.00067 0.03072 0.00967 0.00075
XM_004921804.2  0.18158 0.02671 357.87017 0.04660 0.01554 0.04686 123.86076 0.03709 0.00412 0.03555 0.01285 0.01422 0.02450
XM_004921805.2  0.00058 0.02742 0.00939 0.00509 0.01008 0.01558 0.00010 0.01140 999.00000 0.02164 0.05908 0.01699 0.01914
XM_004921810.2  426.50370 0.05137 0.00010 0.07849 0.03511 0.01528 999.00000 0.09398 999.00000 0.05811 0.05307 0.00111 0.00731
XM_004921814.2  2.90017 0.01370 6.23811 0.12078 0.02098 0.00756 2.00136 0.00624 0.00997 0.03997 0.01073 0.00087 0.00566
XM_004921823.2  294.58467 0.03964 152.19490 0.01649 0.33609 0.00463 41.43955 0.01134 260.90621 0.03070 0.03783 0.04541 0.04999
XM_004921832.2  0.00010 0.00633 999.00000 999.00000 0.00753 0.00481 999.00000 0.01314 0.01043 0.00523 0.00689 0.01470 0.00817
XM_004921840.2  0.01382 0.05911 0.03916 0.03388 0.01097 0.04650 999.00000 0.02787 999.00000 0.01829 0.01472 409.64239 0.01203
XM_004921845.2  769.20191 0.06116 0.23192 0.07416 0.07206 0.05493 999.00000 0.08672 999.00000 0.06440 0.04774 0.05983 0.06820
XM_004921853.2  65.45555 0.00664 0.00010 0.05346 0.04952 0.06293 20.07518 0.07542 999.00000 0.00440 0.11803 0.00327 0.02963
XM_004921863.2  681.68413 0.03468 999.00000 0.08436 0.03461 0.03286 0.01797 0.04711 0.03548 0.02137 0.02218 0.01661 0.04874
XM_004921866.2  734.18859 0.09850 0.04568 0.18128 0.03189 0.06951 211.64973 0.13371 0.01536 0.02912 0.03851 0.07081 0.03803
XM_004921874.2  0.00939 0.04669 0.27269 0.49836 0.05445 0.06149 0.15353 0.00199 503.20467 0.20588 0.04698 0.06937 0.08704
XM_004921875.2  5.11648 0.03981 0.00010 0.02535 0.01511 0.04323 18.41540 0.07296 0.03949 0.02301 0.00836 0.02229 0.03213
XM_004921883.2  0.00027 999.00000 0.01958 0.03306 0.13848 0.02405 0.00010 0.02263 0.02687 0.02457 0.23871 0.05190 0.06290
XM_004921893.2  0.00535 0.03605 0.11407 0.05329 0.02482 0.02041 999.00000 0.01958 190.48144 0.01733 0.00715 0.02474 0.03326
XM_004921900.2  0.01579 0.08067 0.00010 0.13206 999.00000 0.06927 0.19512 0.56793 160.44401 0.01343 0.44425 0.03943 999.00000
XM_004921907.2  0.00010 0.00014 0.00010 4.10374 0.02235 0.00340 0.00787 3.76051 0.00010 0.00270 1.13150 0.08268 0.02307
XM_004921912.2  999.00000 0.02533 999.00000 999.00000 0.04249 0.01540 87.57777 0.03218 0.00403 0.04475 0.02071 0.03564 0.01190
XM_004921913.1  999.00000 0.00624 999.00000 999.00000 0.00108 0.00461 0.00010 0.02694 0.00471 0.00236 999.00000 999.00000 0.00987
XM_004921914.2  0.01910 0.03373 999.00000 0.02694 0.04997 0.01471 0.00812 0.08564 468.23903 0.00866 0.03121 0.02782 0.02973
XM_004921916.2  999.00000 0.02238 709.85928 904.76411 0.02855 0.03010 418.98543 0.02777 0.00316 999.00000 0.02248 0.04889 0.02758
XM_004921917.2  0.00010 0.00865 999.00000 0.02561 298.96960 0.01581 999.00000 0.01074 0.00555 0.00516 54.75576 0.02641 0.59232
XM_004921918.2  95.78939 0.03793 0.03715 0.07649 0.02262 0.03156 0.00681 0.03120 0.07570 0.03411 0.03581 0.02515 0.02149
XM_004921920.2  0.05060 0.01776 0.00010 999.00000 0.00778 0.02160 0.01008 0.00671 0.00010 0.01604 0.00579 0.02824 0.02541
XM_004921921.2  0.00010 0.33814 0.00010 0.00010 0.11633 0.07006 0.00010 0.19896 999.00000 0.00010 0.00101 0.05504 0.00794
XM_004921923.2  999.00000 0.15289 999.00000 999.00000 0.07595 0.11460 0.00010 0.08334 0.00010 0.15657 0.09798 0.03303 0.09176
XM_004921924.2  0.00010 41.67978 0.00010 166.23224 0.00010 0.00256 0.00010 0.00464 220.84026 0.01594 0.00115 0.00095 0.00010
XM_004921925.2  0.00010 0.00388 129.99540 999.00000 0.08557 0.04921 0.00010 46.60689 0.00048 0.00234 0.00225 0.17331 0.03215
XM_004921929.2  0.01074 0.00124 0.00010 0.00454 0.04287 0.22861 0.00010 0.00589 999.00000 0.01479 0.00010 0.00181 0.18187
XM_004921933.2  276.54669 0.02774 733.28301 999.00000 0.02163 0.01990 999.00000 0.01597 825.18436 0.01469 0.01950 0.02947 0.02870
XM_004921936.2  0.00010 0.00010 0.00010 999.00000 0.00010 0.00010 0.00010 0.01164 0.00010 0.00010 0.00010 999.00000 999.00000
XM_004921938.2  999.00000 0.07948 0.05262 999.00000 0.03552 0.00557 999.00000 0.06198 0.01584 0.13712 0.04470 999.00000 0.04935
XM_004921939.1  0.00471 0.07766 999.00000 999.00000 0.01107 0.04252 0.00010 0.01657 0.01004 0.02003 0.04692 0.03918 0.01760
XM_004921942.2  999.00000 0.05859 999.00000 999.00000 0.06551 0.05042 999.00000 0.04676 999.00000 0.06059 0.04234 0.03445 0.06938
XM_004921949.2  999.00000 0.01911 999.00000 0.10658 0.05805 0.13518 1.43143 0.01624 999.00000 0.05540 0.05666 0.07022 0.07393
XM_004921952.1  755.31983 0.11014 0.10625 0.34552 0.08967 0.08928 397.93146 0.10099 0.03079 0.07102 0.07552 0.07842 0.06164
XM_004921955.2  152.90878 0.03071 0.00326 0.02348 0.02101 0.01093 0.00312 0.00988 999.00000 0.02100 0.00873 0.00972 0.02157
