GeneID B_mori C_ce GeneIDcce D_pl GeneIDdpl H_mel GeneIDhmel L_ac GeneIDlac L_sin GeneIDlsin P_ma GeneIDpma P_se GeneIDpse
NM_001256990.1 57.169 35.528 cce23843.1.mRNA 52.641 DPOGS212605-TA 56.746 HMEL034862g1.t1 57.850 lac2754.7.mRNA 52.925 leptidea_sinapisT00000009881 55.567 KPJ13379.1 55.879 pse104.2
NM_001257002.1 49.589 45.837 cce7384.7.mRNA 54.743 DPOGS209650-TA 53.460 HMEL017062g1.t1 52.895 lac272.1.mRNA 56.660 leptidea_sinapisT00000007272 53.427 KPJ19050.1 53.560 pse1023.6
NM_001257004.1 57.267 43.885 cce250.2.mRNA 56.237 DPOGS215507-TA 54.982 HMEL032141g1.t1 55.429 lac918.3.mRNA 60.285 leptidea_sinapisT00000004422 49.260 KPJ08006.1 55.843 pse4228.2
NM_001257007.1 61.000 53.815 cce5445.9.mRNA 59.839 DPOGS207456-TA 59.466 HMEL005235g1.t1 52.915 lac1803.96.mRNA 47.304 leptidea_sinapisT00000019216 55.811 KPJ16933.1 56.851 pse1348.13
NM_001257008.1 55.831 46.075 cce42096.1.mRNA 50.938 DPOGS212323-TA 52.880 HMEL013370g2.t1 53.065 lac20.15.mRNA 54.283 leptidea_sinapisT00000013846 38.043 KPJ07478.1 54.517 pse811.3
NM_001257011.1 50.079 54.149 cce3063.7.mRNA 50.255 DPOGS203005-TA 60.055 HMEL011017g1.t1 42.423 lac74.22.mRNA 57.902 leptidea_sinapisT00000011233 58.221 KPJ10318.1 38.416 pse429.8
NM_001257012.1 53.922 50.784 cce3063.11.mRNA 57.632 DPOGS202998-TA 61.000 HMEL011021g1.t1 36.638 lac160671.2.mRNA 58.280 leptidea_sinapisT00000007499 53.092 KPJ10322.1 43.504 pse429.12
NM_001257025.1 46.249 47.777 cce10897.2.mRNA 51.503 DPOGS213085-TA 44.339 HMEL009782g1.t1 48.165 lac807.2.mRNA 48.695 leptidea_sinapisT00000017776 45.182 KPJ06703.1 45.379 pse1095.51
NM_001257044.1 51.235 58.293 cce1546.29.mRNA 56.223 DPOGS214629-TA 53.528 HmelUGT47A4 56.086 lac217.17.mRNA 59.629 leptidea_sinapisT00000002622 55.878 KPJ18103.1 60.156 pse560.41
NM_001257046.1 60.117 57.626 cce4544.12.mRNA 56.583 DPOGS208882-TA 52.933 HMEL003892g1.t1 58.689 lac727.28.mRNA 57.889 leptidea_sinapisT00000017114 56.206 KPJ06013.1 59.959 pse468.14
NM_001257055.1 54.514 48.773 cce3251.3.mRNA 52.108 DPOGS215100-TA 57.025 HMEL014235g1.t1 50.346 lac1868.34.mRNA 60.561 leptidea_sinapisT00000000817 52.951 KPJ17576.1 50.373 pse284.8
NM_001257337.1 57.188 58.668 cce302979.1.mRNA 53.290 DPOGS202217-TA 56.199 HMEL030936g1.t1 56.234 lac9.55.mRNA 53.810 leptidea_sinapisT00000001401 60.268 KPJ12174.1 60.851 pse2576.14
NM_001279362.1 52.123 52.374 cce23901.1.mRNA 48.082 DPOGS205314-TA 42.667 HMEL016006g1.t1 56.270 lac1127.24.mRNA 56.411 leptidea_sinapisT00000007286 43.696 KPJ12855.1 51.419 pse362.6
NM_001279388.1 49.441 48.944 cce3722.3.mRNA 45.079 DPOGS208109-TA 42.900 HMEL006222g1.t1 51.556 lac1484.5.mRNA 47.368 leptidea_sinapisT00000008548 43.796 KPJ06195.1 46.499 pse2390.21
NM_001279391.1 55.860 60.724 cce39393.1.mRNA 51.021 DPOGS212793-TA 51.506 HMEL011200g1.t1 50.185 lac2915.22.mRNA 49.682 leptidea_sinapisT00000004877 52.750 KPJ10890.1 60.091 pse3787.2
NM_001279397.1 51.335 51.473 cce7039.3.mRNA 44.795 DPOGS208782-TA 58.735 HMEL015436g1.t1 46.947 lac615.2.mRNA 52.873 leptidea_sinapisT00000017028 57.287 KPJ19980.1 57.695 pse88.18
NM_001279400.1 56.986 55.241 cce853.7.mRNA 49.323 DPOGS209793-TA 49.841 HMEL036951g1.t1 55.116 lac1642.15.mRNA 52.599 leptidea_sinapisT00000012640 51.116 KPJ05971.1 53.829 pse1659.5
NM_001279414.1 56.726 43.798 cce5874.5.mRNA 48.831 DPOGS207824-TA 46.721 HMEL007391g2.t1 51.241 lac4603.6.mRNA 48.204 leptidea_sinapisT00000008795 47.904 KPJ08563.1 59.394 pse3597.8
NM_001279424.1 52.963 57.602 cce159.7.mRNA 55.719 DPOGS205447-TA 53.208 HMEL032153g1.t1 56.014 lac929.8.mRNA 52.818 leptidea_sinapisT00000020826 53.302 KPJ18863.1 57.334 pse5874.7
NM_001279429.1 50.857 52.586 cce2782.2.mRNA 54.727 DPOGS212273-TA 49.563 HMEL034245g1.t1 48.042 lac182.10.mRNA 48.778 leptidea_sinapisT00000010492 50.287 KPJ17148.1 52.306 pse245.20
NM_001279454.1 55.919 58.300 cce5500.2.mRNA 50.763 DPOGS209128-TA 52.051 HMEL032548g1.t1 52.935 lac7551.2.mRNA 52.126 leptidea_sinapisT00000010082 51.122 KPJ09539.1 52.065 pse5745.6
NM_001279459.1 58.279 55.021 cce859.11.mRNA 61.000 DPOGS204393-TA 55.987 HMEL031159g1.t1 61.000 lac89302.51.mRNA 58.634 leptidea_sinapisT00000019593 59.450 KPJ15551.1 59.307 pse828.1
NM_001279462.1 52.969 55.818 cce12339.2.mRNA 57.077 DPOGS207151-TA 54.217 HMEL015795g1.t1 53.510 lac870.23.mRNA 50.309 leptidea_sinapisT00000015395 52.243 KPJ09201.1 50.840 pse1902.23
NM_001279484.1 59.216 49.323 cce12580.4.mRNA 53.544 DPOGS207783-TA 56.539 HMEL017581g1.t1 54.375 lac1573.11.mRNA 58.166 leptidea_sinapisT00000002771 57.738 KPJ08497.1 57.616 pse624.36
NM_001279507.1 53.756 56.751 cce9990.1.mRNA 53.873 DPOGS211900-TA 55.279 HMEL016694g1.t1 58.577 lac1803.32.mRNA 54.616 leptidea_sinapisT00000007791 56.460 KPJ17183.1 56.524 pse2658.36
NM_001281891.1 53.006 57.470 cce570.4.mRNA 52.976 DPOGS205179-TA 48.088 HMEL033908g1.t1 51.529 lac870.15.mRNA 52.910 leptidea_sinapisT00000018317 58.823 KPJ10567.1 53.818 pse2180.11
NM_001281894.1 53.434 51.899 cce5007.3.mRNA 58.781 DPOGS207146-TA 57.811 HMEL035670g1.t1 56.577 lac984.16.mRNA 53.139 leptidea_sinapisT00000004155 51.501 KPJ09171.1 54.961 pse304.42
NM_001281896.1 55.461 57.748 cce2976.5.mRNA 51.237 DPOGS206197-TA 50.731 HMEL022586g1.t1 58.801 lac2142.4.mRNA 50.522 leptidea_sinapisT00000003725 56.190 KPJ08951.1 58.250 pse336.3
NM_001281897.1 61.000 56.929 cce6720.9.mRNA 57.675 DPOGS202446-TA 58.685 HMEL015645g1.t1 52.621 lac676.23.mRNA 57.757 leptidea_sinapisT00000004055 58.459 KPJ11307.1 56.648 pse1727.20
NM_001282221.1 60.252 60.109 cce2962.1.mRNA 58.213 DPOGS203985-TA 58.407 HMEL008404g1.t1 57.863 lac363.16.mRNA 60.538 leptidea_sinapisT00000018665 60.386 KPJ09096.1 55.650 pse4933.8
NM_001282222.1 57.376 55.232 cce2502.15.mRNA 48.119 DPOGS207643-TA 54.660 HMEL034722g1.t1 57.124 lac1362.4.mRNA 53.059 leptidea_sinapisT00000015503 53.174 KPJ06927.1 48.280 pse271.8
NM_001282223.1 45.597 45.634 cce6473.3.mRNA 49.287 DPOGS206673-TA 39.391 HMEL012311g1.t1 49.926 lac251.39.mRNA 41.270 leptidea_sinapisT00000008332 50.857 KPJ20045.1 38.473 pse5502.7
NM_001285966.1 48.289 56.496 cce588.1.mRNA 53.753 DPOGS213507-TA 48.640 HMEL007790g1.t1 54.077 lac837.50.mRNA 54.457 leptidea_sinapisT00000020122 57.487 KPJ07185.1 50.413 pse12924.16
NM_001287400.1 58.230 57.745 cce1391.3.mRNA 56.344 DPOGS213663-TA 56.155 HMEL034836g1.t1 58.667 lac8792.38.mRNA 58.724 leptidea_sinapisT00000000891 61.000 KPJ12049.1 54.676 pse1739.22
NM_001287830.1 58.369 55.675 cce1486.2.mRNA 56.242 DPOGS213244-TA 54.199 HMEL007856-RA 57.518 lac883.8.mRNA 56.993 leptidea_sinapisT00000017680 57.205 KPJ14777.1 55.828 pse2683.10
NM_001287837.1 57.569 52.184 cce3063.10.mRNA 56.336 DPOGS203007-TA 59.138 HMEL011020g1.t1 47.658 lac160671.1.mRNA 59.756 leptidea_sinapisT00000001133 57.422 KPJ10321.1 43.705 pse429.11
NM_001287844.1 48.495 53.138 cce14824.5.mRNA 47.276 DPOGS204968-TA 45.720 HMEL014454g1.t1 49.526 lac161931.13.mRNA 47.739 leptidea_sinapisT00000003032 51.496 KPJ10753.1 49.930 pse603.54
NM_001288670.1 57.072 40.425 cce15587.1.mRNA 56.917 DPOGS210546-TA 57.427 HMEL003478g1.t1 56.779 lac314.14.mRNA 60.474 leptidea_sinapisT00000008259 51.002 KPJ20169.1 58.808 pse565.4
NM_001294284.1 57.178 47.925 cce17852.4.mRNA 57.543 DPOGS200369-TA 53.058 HMEL004962g1.t1 57.555 lac924.30.mRNA 56.367 leptidea_sinapisT00000019030 55.419 KPJ08154.1 61.000 pse87281.21
NM_001294286.1 60.497 54.860 cce303329.6.mRNA 55.603 DPOGS214598-TA 59.367 HMEL037879g1.t1 58.100 lac1284.3.mRNA 60.227 leptidea_sinapisT00000014853 57.031 KPJ10060.1 53.440 pse5286.2
XM_004921481.2 52.979 48.052 cce12716.3.mRNA 41.010 DPOGS206550-TA 37.483 HMEL002290g1.t1 52.319 lac66.99.mRNA 56.250 leptidea_sinapisT00000010175 44.878 KPJ15139.1 48.407 pse165.53
XM_004921495.2 44.917 31.505 cce1120.5.mRNA 47.307 DPOGS204753-TA 34.098 HMEL035308g1.t1 39.960 lac155502.1.mRNA 35.294 leptidea_sinapisT00000012907 35.238 KPJ12206.1 29.869 pse3203.4
XM_004921496.1 59.024 43.977 cce3290.6.mRNA 58.390 DPOGS204755-TA 56.785 HMEL012756g1.t1 58.266 lac221.9.mRNA 53.735 leptidea_sinapisT00000019266 38.722 KPJ12208.1 48.627 pse838.14
XM_004921499.2 55.936 54.758 cce3290.10.mRNA 55.417 DPOGS204765-TA 55.174 HMEL003491g1.t1 54.914 lac221.5.mRNA 53.577 leptidea_sinapisT00000020179 56.249 KPJ12211.1 56.125 pse838.11
XM_004921505.2 60.351 45.873 cce482.12.mRNA 39.272 DPOGS205952-TA 53.776 HMEL006451g1.t1 38.361 lac233.81.mRNA 51.097 leptidea_sinapisT00000020897 42.248 KPJ07365.1 46.178 pse1608.5
XM_004921507.2 50.535 47.969 cce482.15.mRNA 53.208 DPOGS205949-TA 42.074 HMEL006455g1.t1 58.833 lac233.70.mRNA 44.936 leptidea_sinapisT00000005510 51.292 KPJ07368.1 45.497 pse1608.6
XM_004921508.2 57.542 52.900 cce482.16.mRNA 58.063 DPOGS205932-TA 50.923 HMEL006457g3.t1 48.899 lac233.71.mRNA 43.164 leptidea_sinapisT00000006819 53.898 KPJ07369.1 54.767 pse1608.10
XM_004921514.2 54.657 41.120 cce482.19.mRNA 61.000 DPOGS205933-TA 61.000 HMEL035293g1.t1 56.775 lac233.76.mRNA 53.898 leptidea_sinapisT00000004638 61.000 KPJ07373.1 61.000 pse6651.1
XM_004921517.2 47.043 44.821 cce482.24.mRNA 54.983 DPOGS205944-TA 56.657 HMEL035290g1.t1 45.599 lac233.67.mRNA 38.893 leptidea_sinapisT00000008289 50.735 KPJ07378.1 50.228 pse1608.19
XM_004921520.1 57.729 55.191 cce10290.3.mRNA 55.153 DPOGS206720-TA 49.355 HMEL035283g1.t1 53.534 lac233.56.mRNA 51.085 leptidea_sinapisT00000000270 59.190 KPJ07390.1 54.861 pse538.5
XM_004921522.2 47.022 61.000 cce10290.6.mRNA 49.155 DPOGS206727-TA 42.528 HMEL012062g1.t1 53.478 lac233.53.mRNA 57.173 leptidea_sinapisT00000006419 43.683 KPJ07392.1 54.437 pse538.3
XM_004921526.2 45.893 54.079 cce303317.4.mRNA 55.521 DPOGS212424-TA 46.899 HMEL012057g1.t1 59.596 lac233.48.mRNA 49.280 leptidea_sinapisT00000006570 54.555 KPJ07999.1 47.738 pse1406.4
XM_004921528.2 59.286 43.406 cce2993.3.mRNA 60.483 DPOGS212426-TA 55.594 HMEL035280g1.t1 44.098 lac233.44.mRNA 56.390 leptidea_sinapisT00000013353 50.471 KPJ07992.1 56.349 pse1406.10
XM_004921529.2 59.133 49.164 cce2993.1.mRNA 59.751 DPOGS212427-TA 51.393 HMEL035278g1.t1 61.000 lac233.42.mRNA 53.768 leptidea_sinapisT00000016472 52.135 KPJ07991.1 56.558 pse1406.12
XM_004921534.2 50.612 47.130 cce2423.1.mRNA 56.315 DPOGS212418-TA 50.774 HMEL009616g1.t1 53.859 lac233.41.mRNA 46.548 leptidea_sinapisT00000002525 53.715 KPJ07989.1 47.376 pse1406.13
XM_004921535.2 59.352 50.788 cce2423.2.mRNA 58.297 DPOGS212429-TA 55.065 HMEL009615g1.t1 61.000 lac233.40.mRNA 51.439 leptidea_sinapisT00000020634 60.181 KPJ07988.1 61.000 pse1406.14
XM_004921537.2 56.099 41.850 cce2423.6.mRNA 52.907 DPOGS212413-TA 57.004 HMEL012359g1.t1 47.560 lac233.35.mRNA 44.932 leptidea_sinapisT00000008643 48.140 KPJ07982.1 47.976 pse1406.20
XM_004921538.2 61.000 48.257 cce2423.7.mRNA 51.999 DPOGS212431-TA 47.339 HMEL012358g1.t1 52.008 lac233.34.mRNA 57.595 leptidea_sinapisT00000004157 54.237 KPJ07981.1 55.222 pse1406.21
XM_004921539.2 57.181 46.213 cce2423.8.mRNA 59.253 DPOGS212432-TA 61.000 HMEL012357g1.t1 40.637 lac233.33.mRNA 57.964 leptidea_sinapisT00000019930 51.374 KPJ07980.1 57.428 pse1406.22
XM_004921540.2 55.804 56.476 cce2423.9.mRNA 61.000 DPOGS212412-TA 51.716 HMEL012356g1.t1 53.173 lac233.31.mRNA 53.956 leptidea_sinapisT00000010995 57.176 KPJ07979.1 51.932 pse1406.23
XM_004921541.1 57.605 55.178 cce2423.10.mRNA 56.178 DPOGS212433-TA 54.181 HMEL012355g2.t1 56.420 lac233.30.mRNA 57.447 leptidea_sinapisT00000013485 53.035 KPJ07978.1 57.533 pse1406.24
XM_004921545.2 59.227 59.794 cce2423.15.mRNA 42.491 DPOGS212409-TA 50.036 HMEL035273g1.t1 53.437 lac233.24.mRNA 50.035 leptidea_sinapisT00000002949 56.662 KPJ07971.1 52.147 pse1406.30
XM_004921546.2 53.914 32.607 cce2423.14.mRNA 41.345 DPOGS212436-TA 56.970 HMEL035274g1.t1 35.859 lac233.25.mRNA 56.270 leptidea_sinapisT00000018547 51.938 KPJ07973.1 50.696 pse1406.29
XM_004921547.2 50.442 42.637 cce302722.5.mRNA 52.275 DPOGS212408-TA 41.134 HMEL008639g1.t1 54.786 lac233.21.mRNA 43.995 leptidea_sinapisT00000015484 46.849 KPJ07968.1 47.596 pse1406.33
XM_004921550.2 55.890 51.217 cce302722.3.mRNA 57.974 DPOGS212440-TA 54.495 HMEL035268g1.t1 55.636 lac233.18.mRNA 48.701 leptidea_sinapisT00000014975 53.513 KPJ07965.1 54.233 pse1406.37
XM_004921554.2 61.000 61.000 cce1270.12.mRNA 55.615 DPOGS212404-TA 54.895 HMEL010953g3.t1 59.660 lac233.10.mRNA 55.335 leptidea_sinapisT00000018883 58.338 KPJ07958.1 60.610 pse1406.42
XM_004921557.2 55.557 48.164 cce4788.2.mRNA 57.153 DPOGS200162-TA 47.957 HMEL020898g1.t1 59.880 lac1732.18.mRNA 39.567 leptidea_sinapisT00000011941 50.937 KPJ07941.1 47.466 pse170.9
XM_004921559.2 48.510 42.377 cce808.13.mRNA 49.700 DPOGS200163-TA 58.904 HMEL005713g1.t1 50.819 lac1732.17.mRNA 53.192 leptidea_sinapisT00000004876 56.300 KPJ07940.1 46.321 pse170.8
XM_004921561.2 53.215 54.693 cce808.11.mRNA 54.360 DPOGS200164-TA 61.000 HMEL035255g1.t1 47.344 lac1732.15.mRNA 57.691 leptidea_sinapisT00000014363 57.212 KPJ07938.1 57.685 pse170.6
XM_004921567.2 55.267 54.169 cce808.7.mRNA 55.254 DPOGS200143-TA 45.986 HMEL006879g1.t1 51.251 lac1732.13.mRNA 45.419 leptidea_sinapisT00000019775 53.150 KPJ07933.1 54.474 pse170.3
XM_004921573.2 54.188 50.894 cce808.2.mRNA 55.832 DPOGS200169-TA 52.881 HMEL006883g1.t1 52.597 lac1732.7.mRNA 58.747 leptidea_sinapisT00000005602 51.026 KPJ07928.1 47.941 pse1629.10
XM_004921583.2 53.610 49.880 cce2740.11.mRNA 58.838 DPOGS200132-TA 46.184 HMEL009443g1.t1 61.000 lac1082.10.mRNA 50.083 leptidea_sinapisT00000017976 41.406 KPJ07907.1 48.303 pse1126.12
XM_004921585.2 59.381 54.994 cce2740.12.mRNA 57.764 DPOGS200181-TA 56.932 HMEL035239g1.t1 50.183 lac1082.12.mRNA 58.139 leptidea_sinapisT00000010642 57.379 KPJ07906.1 57.067 pse1126.11
XM_004921589.2 59.545 40.818 cce10587.1.mRNA 58.227 DPOGS202129-TA 58.202 HMEL005050g1.t1 58.052 lac1082.21.mRNA 56.336 leptidea_sinapisT00000014165 61.000 KPJ07897.1 56.298 pse1126.3
XM_004921595.2 54.348 60.900 cce6769.3.mRNA 59.822 DPOGS202098-TA 57.031 HMEL035227g1.t1 54.059 lac1082.29.mRNA 48.851 leptidea_sinapisT00000006898 53.238 KPJ07892.1 60.586 pse8959.3
XM_004921606.2 50.930 38.661 cce482.21.mRNA 47.289 DPOGS205935-TA 50.120 HMEL008161g1.t1 50.697 lac233.73.mRNA 50.517 leptidea_sinapisT00000014780 41.571 KPJ07371.1 53.070 pse1608.15
XM_004921609.2 45.094 45.495 cce4657.2.mRNA 47.528 DPOGS205937-TA 41.526 HMEL035291g1.t1 43.569 lac233.68.mRNA 42.924 leptidea_sinapisT00000014552 44.759 KPJ07377.1 43.566 pse1608.18
XM_004921612.2 59.336 61.000 cce4483.1.mRNA 58.402 DPOGS206731-TA 55.827 HMEL002328g1.t1 42.048 lac5083.1.mRNA 59.186 leptidea_sinapisT00000009227 57.933 KPJ07385.1 59.083 pse7840.2
XM_004921613.2 55.997 56.536 cce4483.4.mRNA 55.466 DPOGS206730-TA 54.754 HMEL035285g1.t1 59.553 lac233.59.mRNA 54.711 leptidea_sinapisT00000016767 58.326 KPJ07386.1 60.242 pse7840.1
XM_004921620.2 56.036 54.507 cce26454.1.mRNA 51.957 DPOGS212434-TA 44.590 HMEL012355g1.t1 44.285 lac233.29.mRNA 53.227 leptidea_sinapisT00000004515 48.237 KPJ07977.1 49.480 pse1406.25
XM_004921647.2 53.084 59.868 cce2824.3.mRNA 55.444 DPOGS200973-TA 54.840 HMEL034385g1.t1 51.790 lac4384.7.mRNA 56.777 leptidea_sinapisT00000012518 61.000 KPJ08653.1 52.568 pse492.3
XM_004921650.2 59.362 59.369 cce5840.1.mRNA 56.241 DPOGS200972-TA 55.572 HMEL016193g1.t1 56.266 lac4384.11.mRNA 58.008 leptidea_sinapisT00000015345 54.152 KPJ08655.1 59.833 pse492.5
XM_004921654.1 45.944 50.903 cce7926.3.mRNA 45.429 DPOGS205303-TA 46.208 HMEL016199g1.t1 45.202 lac1836.3.mRNA 43.810 leptidea_sinapisT00000005282 48.754 KPJ08664.1 44.625 pse492.9
XM_004921655.2 61.000 57.497 cce7926.1.mRNA 58.621 DPOGS205263-TA 51.065 HMEL034382g1.t1 55.548 lac1836.5.mRNA 56.750 leptidea_sinapisT00000011060 51.225 KPJ08666.1 54.611 pse492.11
XM_004921667.2 57.178 50.972 cce504.31.mRNA 59.897 DPOGS205298-TA 55.854 HMEL034370g1.t1 55.114 lac15308.2.mRNA 55.644 leptidea_sinapisT00000009037 56.342 KPJ14388.1 58.018 pse906.4
XM_004921668.2 50.681 55.990 cce2589.4.mRNA 50.106 DPOGS205274-TA 47.567 HMEL016221g1.t1 59.787 lac930.2.mRNA 54.954 leptidea_sinapisT00000006786 49.669 KPJ14391.1 55.831 pse906.2
XM_004921670.2 56.341 53.541 cce2589.1.mRNA 45.882 DPOGS205296-TA 51.203 HMEL016226-RA 50.682 lac363.21.mRNA 51.248 leptidea_sinapisT00000016437 49.234 KPJ14394.1 51.403 pse3427.1
XM_004921675.1 58.109 56.470 cce751.6.mRNA 58.973 DPOGS205292-TA 57.517 HMEL017479-RA 56.714 lac151.7.mRNA 56.514 leptidea_sinapisT00000010215 55.253 KPJ14406.1 55.730 pse25.18
XM_004921676.2 57.779 56.123 cce751.5.mRNA 56.764 DPOGS205291-TA 55.952 HMEL017480g1.t1 57.981 lac151.8.mRNA 57.291 leptidea_sinapisT00000017919 56.432 KPJ14407.1 58.982 pse25.17
XM_004921680.2 52.077 56.591 cce4527.2.mRNA 56.569 DPOGS205285-TA 57.051 HMEL017486g2.t1 56.082 lac151.19.mRNA 55.710 leptidea_sinapisT00000002379 54.284 KPJ14414.1 56.870 pse25.11
XM_004921681.2 55.517 58.754 cce4527.4.mRNA 48.926 DPOGS205279-TA 55.304 HMEL017487-RA 56.027 lac151.21.mRNA 55.131 leptidea_sinapisT00000009935 57.831 KPJ14416.1 56.126 pse25.4
XM_004921682.2 51.335 53.225 cce1367.15.mRNA 47.620 DPOGS205283-TA 49.885 HMEL017493-RA 52.237 lac151.22.mRNA 53.686 leptidea_sinapisT00000019023 54.712 KPJ14417.1 53.594 pse25.3
XM_004921685.2 52.546 52.919 cce1367.9.mRNA 48.767 DPOGS203200-TA 48.860 HMEL011010-RA 46.512 lac387.10.mRNA 51.551 leptidea_sinapisT00000007740 52.336 KPJ14422.1 54.546 pse1836.13
XM_004921687.2 45.446 45.312 cce1367.4.mRNA 44.053 DPOGS203201-TA 44.830 HMEL034330g1.t1 51.752 lac387.5.mRNA 46.466 leptidea_sinapisT00000004863 50.413 KPJ06802.1 46.907 pse1836.9
XM_004921688.2 55.730 57.009 cce2854.3.mRNA 50.823 DPOGS203206-TA 50.696 HMEL034328g1.t1 57.509 lac751.2.mRNA 56.264 leptidea_sinapisT00000008886 53.439 KPJ06796.1 59.536 pse1836.4
XM_004921690.2 53.614 52.492 cce8100.3.mRNA 51.295 DPOGS203208-TA 51.170 HMEL010980g1.t1 49.049 lac751.5.mRNA 47.718 leptidea_sinapisT00000016038 52.144 KPJ06788.1 52.913 pse6841.1
XM_004921693.2 49.566 54.371 cce1468.4.mRNA 53.267 DPOGS203211-TA 48.694 HMEL010976g1.t1 56.109 lac751.8.mRNA 54.238 leptidea_sinapisT00000007658 57.122 KPJ06786.1 56.764 pse4084.2
XM_004921703.2 60.080 43.753 cce1981.2.mRNA 61.000 DPOGS200970-TA 58.218 HMEL016195g1.t1 58.915 lac1836.1.mRNA 56.899 leptidea_sinapisT00000015487 58.153 KPJ08656.1 61.000 pse27720.1
XM_004921715.2 48.778 56.401 cce751.4.mRNA 47.426 DPOGS205290-TA 43.961 HMEL017481g1.t1 43.855 lac151.11.mRNA 51.110 leptidea_sinapisT00000005810 49.164 KPJ14408.1 49.549 pse25.16
XM_004921727.2 59.683 55.824 cce1806.15.mRNA 56.431 DPOGS202874-TA 57.315 HMEL017963g1.t1 59.083 lac448.5.mRNA 58.820 leptidea_sinapisT00000011052 57.339 KPJ18052.1 55.514 pse5384.5
XM_004921742.2 57.020 54.490 cce633.13.mRNA 55.411 DPOGS214589-TA 53.074 HMEL037890g1.t1 57.152 lac3137.3.mRNA 52.444 leptidea_sinapisT00000009833 59.302 KPJ18014.1 54.765 pse6297.3
XM_004921744.2 54.612 46.847 cce633.12.mRNA 57.401 DPOGS214591-TA 58.993 HMEL037889g1.t1 50.576 lac3137.5.mRNA 56.174 leptidea_sinapisT00000019324 60.379 KPJ18013.1 59.127 pse6297.5
XM_004921745.2 52.783 43.893 cce633.11.mRNA 49.488 DPOGS214593-TA 55.054 HMEL037885g1.t1 51.424 lac3137.6.mRNA 48.965 leptidea_sinapisT00000008948 47.870 KPJ10054.1 42.581 pse6297.6
XM_004921747.2 48.265 45.467 cce633.9.mRNA 50.639 DPOGS214594-TA 46.266 HMEL037883g1.t1 53.276 lac3137.8.mRNA 47.460 leptidea_sinapisT00000012665 48.862 KPJ10056.1 50.163 pse6297.8
XM_004921749.2 49.223 44.106 cce633.8.mRNA 49.919 DPOGS214625-TA 45.769 HMEL037882g1.t1 50.508 lac3137.9.mRNA 48.211 leptidea_sinapisT00000008556 49.555 KPJ10057.1 44.623 pse6297.9
XM_004921751.2 56.163 51.723 cce102489.1.mRNA 58.588 DPOGS214597-TA 53.372 HMEL037880g1.t1 58.592 lac1284.2.mRNA 59.355 leptidea_sinapisT00000014211 61.000 KPJ21358.1 55.556 pse5286.3
XM_004921755.2 60.859 53.932 cce303329.1.mRNA 56.839 DPOGS214619-TA 55.588 HMEL002763g1.t1 59.673 lac1284.11.mRNA 53.013 leptidea_sinapisT00000018923 54.430 KPJ10066.1 58.392 pse589.3
XM_004921761.1 57.048 40.407 cce3919.6.mRNA 53.172 DPOGS214723-TA 56.317 HMEL037849g1.t1 49.757 lac1284.16.mRNA 54.870 leptidea_sinapisT00000003570 46.057 KPJ10071.1 44.920 pse589.7
XM_004921762.2 43.765 42.261 cce3919.5.mRNA 49.914 DPOGS214730-TA 46.362 HMEL008592g1.t1 55.531 lac709.11.mRNA 47.214 leptidea_sinapisT00000020889 45.693 KPJ10073.1 49.540 pse589.8
XM_004921765.2 56.795 57.022 cce3996.8.mRNA 50.503 DPOGS214571-TA 47.551 HMEL009112g1.t1 55.642 lac1010.14.mRNA 59.808 leptidea_sinapisT00000018733 59.041 KPJ18068.1 60.917 pse2358.8
XM_004921778.2 57.898 48.231 cce3094.9.mRNA 56.306 DPOGS214639-TA 52.905 HMEL037948g1.t1 56.701 lac1010.6.mRNA 59.376 leptidea_sinapisT00000012743 56.866 KPJ18084.1 53.674 pse2358.17
XM_004921780.2 58.223 53.269 cce2318.3.mRNA 57.756 DPOGS214575-TA 56.320 HMEL037950g1.t1 60.508 lac1010.3.mRNA 53.171 leptidea_sinapisT00000019617 56.589 KPJ18087.1 58.684 pse15180.1
XM_004921784.2 51.808 50.152 cce1546.1.mRNA 56.464 DPOGS214579-TA 49.473 HMEL037952g1.t1 50.719 lac217.2.mRNA 50.265 leptidea_sinapisT00000001393 49.949 KPJ18091.1 48.222 pse560.54
XM_004921789.1 56.304 58.212 cce1546.14.mRNA 57.357 DPOGS214585-TA 57.808 HMEL009914g1.t1 57.515 lac217.14.mRNA 57.886 leptidea_sinapisT00000019684 60.042 KPJ18100.1 56.797 pse560.45
XM_004921790.1 57.471 52.839 cce1546.17.mRNA 60.541 DPOGS214586-TA 32.151 HMEL009912g1.t1 60.669 lac217.16.mRNA 61.000 leptidea_sinapisT00000006137 39.068 KPJ18102.1 55.258 pse560.43
XM_004921793.1 58.913 61.000 cce1546.19.mRNA 51.658 DPOGS204194-TA 57.288 HMEL038029g1.t1 57.552 lac217.19.mRNA 60.001 leptidea_sinapisT00000017362 55.693 KPJ18106.1 55.784 pse560.38
XM_004921795.2 57.257 59.427 cce1546.20.mRNA 54.300 DPOGS204161-TA 51.977 HMEL009907g1.t1 54.225 lac217.21.mRNA 49.711 leptidea_sinapisT00000013613 49.972 KPJ18109.1 54.923 pse560.36
XM_004921799.1 58.154 56.776 cce1546.24.mRNA 60.371 DPOGS204200-TA 54.796 HMEL038030g1.t1 59.420 lac217.26.mRNA 56.787 leptidea_sinapisT00000001445 55.278 KPJ18114.1 54.407 pse560.30
